Order ID,Order Date,Product Price,Shipping Price,Total Sale Price,Shipping Cost,Product Cost,Platform Fee,Net Profit,ROI,,,,,
97045F35-DC8491-95727,12/14/2022,$0.18,$0.99,$1.17,$0.20,$1.50,$0.45,-$0.98,-65.40%,,,,,
97045F35-12AAB0-C7E71,12/14/2022,$0.02,$0.99,$1.01,$0.20,$0.25,$0.43,$0.13,51.88%,,,,,
97045F35-B6E6DD-1851D,12/15/2022,$0.75,$0.99,$1.74,$0.20,$0.25,$0.52,$0.77,306.22%,,,,,
97045F35-B2C542-91388,12/15/2022,$0.27,$0.99,$1.26,$0.20,$1.00,$0.46,-$0.40,-40.25%,,,,,
97045F35-AFDC15-7C925,12/16/2022,$1.94,$0.99,$2.93,$0.20,$3.00,$0.68,-$0.95,-31.60%,,,,,
97045F35-8AD2D0-25D43,12/16/2022,$0.45,$0.99,$1.44,$0.20,$0.75,$0.49,$0.00,0.57%,,,,,
97045F35-9A3CA4-1822F,12/16/2022,$0.97,$0.99,$1.96,$0.20,$0.50,$0.55,$0.71,141.43%,,,,,
97045F35-3643A3-94B50,12/16/2022,$0.40,$0.99,$1.39,$0.20,$1.50,$0.48,-$0.79,-52.62%,,,,,
97045F35-D59AEE-77741,12/16/2022,$1.50,$0.99,$2.49,$0.20,$0.50,$0.62,$1.17,233.76%,,,,,
97045F35-CBA45A-7D1AF,12/16/2022,$0.69,$0.99,$1.68,$0.20,$0.25,$0.52,$0.71,285.31%,,,,,
97045F35-60EC65-FB164,12/16/2022,$0.53,$0.99,$1.52,$0.20,$0.50,$0.50,$0.32,64.78%,,,,,
97045F35-EED680-EDE6E,12/16/2022,$2.40,$0.99,$3.39,$0.20,$1.75,$0.74,$0.70,40.15%,,,,,
97045F35-62351A-31110,12/17/2022,$0.90,$0.99,$1.89,$0.20,$0.25,$0.54,$0.90,358.48%,,,,,
97045F35-F56E82-F2DB1,12/17/2022,$22.98,$0.99,$23.97,$0.20,$0.25,$3.39,$20.13,8051.15%,,,,,
97045F35-181E15-04097,12/17/2022,$0.20,$0.99,$1.19,$0.20,$0.25,$0.45,$0.29,114.60%,,,,,
97045F35-9F8257-E8029,12/17/2022,$0.26,$0.99,$1.25,$0.20,$0.50,$0.46,$0.09,17.75%,,,,,
97045F35-06FA30-66427,12/17/2022,$1.98,$0.99,$2.97,$0.20,$0.25,$0.68,$1.84,734.75%,,,,,
97045F35-51C451-997E5,12/19/2022,$0.19,$0.99,$1.18,$0.20,$0.25,$0.45,$0.28,111.11%,,,,,
97045F35-1CA2D1-BB2EF,12/19/2022,$1.49,$0.99,$2.48,$0.20,$0.25,$0.62,$1.41,564.03%,,,,,
